rank,name,Spouse (or domestic partner) - Spouse,Breakup - Participant,Dated - Participant,Canoodled - Participant,score,profession,age
,,,,Matt Damon,,,,
,,,,Winona Ryder,,,,
,,,,Matt Damon,,,,
10,Jack Nicholson,Jack Nicholson,,Jack Nicholson,Sylvia Tamsma,9.68,"Actor, Director, Producer, Singer (Cameo), Writer",75
,,Sandra Knight,,Jessica Lange,Jack Nicholson,,,
,,,,Jack Nicholson,Kate Moss,,,
,,,,Tracy Richman,Jack Nicholson,,,
,,,,Jack Nicholson,Jack Nicholson,,,
,,,,Rachel Ward,Michelle Phillips,,,
,,,,Jack Nicholson,Heidi von Beltz,,,
,,,,Winnie Hollman,Jack Nicholson,,,
,,,,Jack Nicholson,,,,
,,,,Sabrina Guinness,,,,
,,,,Jack Nicholson,,,,
,,,,Lara Flynn Boyle,,,,
,,,,Jack Nicholson,,,,
,,,,Karen Mayo-Chandler,,,,
,,,,Jack Nicholson,,,,
,,,,Susan Anspach,,,,
,,,,Joni Mitchell,,,,
,,,,Jack Nicholson,,,,
,,,,Jack Nicholson,,,,
,,,,Anjelica Huston,,,,
11,Julia Roberts,Julia Roberts,Julia Roberts,Julia Roberts,,9.65,"Actress, Producer",44
,,Lyle Lovett,Benjamin Bratt,Talisa Soto,,,,
,,Julia Roberts,,Monica McClure,,,,
,,Daniel Moder,,Jennifer Esposito,,,,
,,,,Benjamin Bratt,,,,
,,,,Richard Gere,,,,
,,,,Julia Roberts,,,,
,,,,Liam Neeson,,,,
,,,,Julia Roberts,,,,
,,,,Lyle Lovett,,,,
,,,,Julia Roberts,,,,
,,,,Ethan Hawke,,,,
,,,,Julia Roberts,,,,
,,,,Kiefer Sutherland,,,,
,,,,Julia Roberts,,,,
,,,,Jason Patric,,,,
,,,,Julia Roberts,,,,
,,,,Dylan McDermott,,,,
,,,,Julia Roberts,,,,
,,,,Julia Roberts,,,,
,,,,Liam Neeson,,,,
,,,,Julia Roberts,,,,
,,,,George Clooney,,,,
12,Adam Sandler,Jackie Sandler,,Jackie Sandler,Emmanuelle Chriqui,9.61,"Actor, Composer, Producer, Singer (Cameo), Writer",45
,,Adam Sandler,,Adam Sandler,Adam Sandler,,,
,,,,Juliette Lewis,Adam Sandler,,,
,,,,Adam Sandler,Angie Everhart,,,
,,,,Adam Sandler,,,,
,,,,Juliette Lewis,,,,
,,,,Adam Sandler,,,,
,,,,Margaret Ruden,,,,
13,Tom Cruise,Katie Holmes,Mimi Rogers,Penélope Cruz,Tom Cruise,9.6,"Actor, Director, Producer, Writer",50
,,Tom Cruise,Tom Cruise,Tom Cruise,Diane Lane,,,
,,Mimi Rogers,Nicole Kidman,Katie Holmes,Tom Cruise,,,
,,Tom Cruise,Tom Cruise,Tom Cruise,Thandie Newton,,,
,,Tom Cruise,,Tom Cruise,,,,
,,Nicole Kidman,,Heather Locklear,,,,
,,,,Tom Cruise,,,,
,,,,Cher,,,,
,,,,Tom Cruise,,,,
,,,,Sofía Vergara,,,,
,,,,Tom Cruise,,,,
,,,,Melissa Gilbert,,,,
,,,,Penélope Cruz,,,,
,,,,Tom Cruise,,,,
14,Russell Crowe,Russell Crowe,,Russell Crowe,Heather Graham,9.57,"Actor, Director, Musician, Producer, Singer, Writer",48
,,Danielle Spencer,,Meg Ryan,Russell Crowe,,,
,,,,Jodie Foster,Peta Wilson,,,
,,,,Russell Crowe,Russell Crowe,,,
,,,,Russell Crowe,Russell Crowe,,,
,,,,Erica Baxter,Nicole Kidman,,,
,,,,Russell Crowe,,,,
,,,,Jodie Foster,,,,
,,,,Russell Crowe,,,,
,,,,Sharon Stone,,,,
,,,,Russell Crowe,,,,
,,,,Jamie O'Neal,,,,
15,Will Ferrell,Viveca Paulin,,Viveca Paulin,,9.56,"Actor, Producer, Singer (Cameo), Writer",45
,,Will Ferrell,,Will Ferrell,,,,
16,Meryl Streep,Meryl Streep,,,,9.55,"Actress, Singer",63
,,Don Gummer,,,,,,
17,Robert De Niro,Diahnne Abbott,,Robert De Niro,Robert De Niro,9.54,"Actor, Director, Producer",68
,,Robert De Niro,,Cindy Crawford,Dominique Simone,,,
,,Grace Hightower,,Robert De Niro,,,,
,,Robert De Niro,,Cindy Crawford,,,,
,,Toukie Smith,,Robert De Niro,,,,
,,Robert De Niro,,Toukie Smith,,,,
18,Ben Stiller,Christine Taylor,,Amanda Peet,,9.5,"Actor, Director, Producer, Writer",46
,,Ben Stiller,,Ben Stiller,,,,
,,,,Janeane Garofalo,,,,
,,,,Ben Stiller,,,,
,,,,Ben Stiller,,,,
,,,,Christine Taylor,,,,
,,,,Ben Stiller,,,,
,,,,Claire Forlani,,,,
,,,,Ben Stiller,,,,
,,,,Ben Stiller,,,,
,,,,Jeanne Tripplehorn,,,,
,,,,Calista Flockhart,,,,
,,,,Ben Stiller,,,,
,,,,Ben Stiller,,,,
,,,,Claire Forlani,,,,
,,,,Ben Stiller,,,,
,,,,Amanda Peet,,,,
,,,,Ben Stiller,,,,
,,,,Rhea Durham,,,,
19,Jim Carrey,Jim Carrey,Melissa Womer,Melissa Womer,,9.42,"Actor, Producer, Singer (Cameo), Writer",50
,,Lauren Holly,Jim Carrey,Jim Carrey,,,,
,,Melissa Womer,Renée Zellweger,Anine Bing,,,,
,,Jim Carrey,Jim Carrey,Jim Carrey,,,,
,,,Amanda Donohoe,Nicole Kidman,,,,
,,,Jim Carrey,Jim Carrey,,,,
