rank,name,Spouse (or domestic partner) - Spouse,Breakup - Participant,Dated - Participant,Canoodled - Participant,score,profession,age
,,Gérard Depardieu,,Gérard Depardieu,,,,
,,Carole Bouquet,,,,,,
,,Gérard Depardieu,,,,,,
,,Clémentine Igou,,,,,,
,,Gérard Depardieu,,,,,,
210,Beyoncé,Jay-Z,,Eminem,Beyoncé,5.45,"Actress, Composer, Producer, Singer",30
,,Beyoncé,,Beyoncé,Idris Elba,,,
,,,,Kobe Bryant,Ellen DeGeneres,,,
,,,,Beyoncé,Beyoncé,,,
,,,,50 Cent,Jay-Z,,,
,,,,Beyoncé,Beyoncé,,,
,,,,Beyoncé,,,,
,,,,Nas,,,,
,,,,Kobe Bryant,,,,
,,,,Beyoncé,,,,
211,Barbra Streisand,James Brolin,,Omar Sharif,George Lucas,5.42,"Actress, Director, Producer",70
,,Barbra Streisand,,Barbra Streisand,Barbra Streisand,,,
,,Elliott Gould,,Peter Jennings,,,,
,,Barbra Streisand,,Barbra Streisand,,,,
,,,,Barbra Streisand,,,,
,,,,James Newton,,,,
,,,,Kris Kristofferson,,,,
,,,,Barbra Streisand,,,,
,,,,Joe Namath,,,,
,,,,Barbra Streisand,,,,
,,,,Andre Agassi,,,,
,,,,Barbra Streisand,,,,
,,,,Liam Neeson,,,,
,,,,Barbra Streisand,,,,
,,,,Pierre Trudeau,,,,
,,,,Barbra Streisand,,,,
,,,,Barbra Streisand,,,,
,,,,Richard Gregson,,,,
,,,,Jon Peters,,,,
,,,,Barbra Streisand,,,,
212,Ryan Phillippe,Ryan Phillippe,,Ryan Phillippe,Abbie Cornish,5.41,Actor,37
,,Reese Witherspoon,,Abbie Cornish,Ryan Phillippe,,,
,,,,Ryan Phillippe,,,,
,,,,Rose McGowan,,,,
,,,,Heather Graham,,,,
,,,,Ryan Phillippe,,,,
,,,,Drew Barrymore,,,,
,,,,Ryan Phillippe,,,,
,,,,Ryan Phillippe,,,,
213,Christina Ricci,,,Christina Ricci,Christina Ricci,5.39,"Actress, Producer, Singer (Cameo)",32
,,,,Chris Evans,Adam Goldberg,,,
,,,,Christina Ricci,,,,
,,,,Kick Gurry,,,,
,,,,Christina Ricci,,,,
,,,,Moby,,,,
,,,,Christina Ricci,,,,
,,,,Michael Stipe,,,,
,,,,Christina Ricci,,,,
,,,,Matthew Frauman,,,,
214,Peter Sarsgaard,Maggie Gyllenhaal,,Peter Sarsgaard,,5.37,Actor,41
,,Peter Sarsgaard,,Shalom Harlow,,,,
,,,,Maggie Gyllenhaal,,,,
,,,,Peter Sarsgaard,,,,
,,,,Dita Von Teese,,,,
,,,,Peter Sarsgaard,,,,
215,Emile Hirsch,,,Amanda Seyfried,Emile Hirsch,5.36,"Actor, Singer (Cameo)",27
,,,,Emile Hirsch,Elisha Cuthbert,,,
,,,,Elisha Cuthbert,,,,
,,,,Emile Hirsch,,,,
,,,,Emile Hirsch,,,,
,,,,Elissa Sursara,,,,
216,Ray Romano,Anna Romano,,,,5.34,"Actor, Producer, Writer",54
,,Ray Romano,,,,,,
217,Josh Hartnett,,Helena Christensen,Josh Hartnett,Sienna Miller,5.29,"Actor, Producer",34
,,,Josh Hartnett,Gisele Bündchen,Josh Hartnett,,,
,,,Josh Hartnett,Josh Hartnett,Kirsten Dunst,,,
,,,Katie Holmes,Kirsten Dunst,Josh Hartnett,,,
,,,,Helena Christensen,Rihanna,,,
,,,,Josh Hartnett,Josh Hartnett,,,
,,,,Rihanna,Rumer Willis,,,
,,,,Josh Hartnett,Josh Hartnett,,,
,,,,Penélope Cruz,Rumer Willis,,,
,,,,Josh Hartnett,Josh Hartnett,,,
,,,,Scarlett Johansson,Katie Holmes,,,
,,,,Josh Hartnett,Josh Hartnett,,,
,,,,Josh Hartnett,Kirsten Dunst,,,
,,,,Katie Holmes,Josh Hartnett,,,
,,,,Penélope Cruz,Josh Hartnett,,,
,,,,Josh Hartnett,Gisele Bündchen,,,
,,,,Josh Hartnett,Rihanna,,,
,,,,Monet Mazur,Josh Hartnett,,,
,,,,Josh Hartnett,Josh Hartnett,,,
,,,,Izabella Miko,Rashida Jones,,,
218,Charlie Sheen,Denise Richards,Charlie Sheen,Charlie Sheen,Charlisse L'Amour,5.26,"Actor, Producer, Writer",46
,,Charlie Sheen,Denise Richards,Denise Richards,Charlie Sheen,,,
,,Charlie Sheen,Donna Peele,Heather Hunter,Dolly Fox,,,
,,Brooke Mueller,Charlie Sheen,Charlie Sheen,Charlie Sheen,,,
,,Donna Peele,Brittany Ashland,Ginger Lynn,Tamara Beckwith,,,
,,Charlie Sheen,Charlie Sheen,Charlie Sheen,Charlie Sheen,,,
,,Charlie Sheen,,Robin Wright,Teri Star,,,
,,Paula Profit,,Charlie Sheen,Charlie Sheen,,,
,,Kelly Preston,,Valerie Barnes,Sarah Nean Bruce,,,
,,Charlie Sheen,,Charlie Sheen,Charlie Sheen,,,
,,,,Paula Proffit,Sky Valencia,,,
,,,,Charlie Sheen,Charlie Sheen,,,
,,,,Charlie Sheen,Summer Altice,,,
,,,,Charlotte Lewis,Charlie Sheen,,,
,,,,Charlie Sheen,Heidi Fleiss,,,
,,,,Tamara Beckwith,Charlie Sheen,,,
,,,,Charlie Sheen,Dominique Simone,,,
,,,,Summer Altice,Charlie Sheen,,,
,,,,Charlie Sheen,Tara Phillips,,,
,,,,Dominique Simone,Charlie Sheen,,,
219,Paul Rudd,Julie Yaeger,,Alicia Silverstone,,5.24,"Actor, Producer, Singer (Cameo), Writer",43
,,Paul Rudd,,Paul Rudd,,,,
220,Emily Blunt,John Krasinski,,John Krasinski,John Krasinski,5.23,Actress,29
,,Emily Blunt,,Emily Blunt,Emily Blunt,,,
,,Michael Bublé,,Emily Blunt,,,,
,,Emily Blunt,,Michael Bublé,,,,
220,Eva Mendes,George Augusto,,George Gargurevich,,5.23,"Actress, Producer",38
,,Eva Mendes,,Eva Mendes,,,,
,,,,Matt Damon,,,,
,,,,Eva Mendes,,,,
222,Chow Yun-Fat,Chow Yun-Fat,,,,5.21,Actor,57
,,Jasmine Chow,,,,,,
,,Candice Yu,,,,,,
,,Chow Yun-Fat,,,,,,
223,William H. Macy,Felicity Huffman,,William H. Macy,,5.2,"Actor, Director, Producer, Writer",62
,,William H. Macy,,Felicity Huffman,,,,
,,,,William H. Macy,,,,
,,,,Megan Mullally,,,,
224,Casey Affleck,Summer Phoenix,,,,5.19,"Actor, Producer, Writer",36
,,Casey Affleck,,,,,,
224,Zhang Ziyi,,,,Zhang Ziyi,5.19,Actress,33
,,,,,Brett Ratner,,,
226,Matt Dillon,,Matt Dillon,Matt Dillon,Matt Dillon,5.18,"Actor, Director, Writer",48
,,,Denise Richards,Denise Richards,Madonna,,,
,,,,Meg Ryan,Heather Graham,,,
,,,,Matt Dillon,Matt Dillon,,,
,,,,Eliza Dushku,Denise Richards,,,
,,,,Matt Dillon,Matt Dillon,,,
,,,,Cameron Diaz,,,,
,,,,Matt Dillon,,,,
,,,,Brooke Shields,,,,
,,,,Matt Dillon,,,,
,,,,Matt Dillon,,,,
,,,,Ellen Barkin,,,,
,,,,Matt Dillon,,,,
,,,,Tara Dowdell,,,,
,,,,Diane Lane,,,,
,,,,Matt Dillon,,,,
,,,,Matt Dillon,,,,
,,,,Carole Mallory,,,,
227,Nathan Lane,Devlin Elliott,,,,5.17,"Actor, Producer, Singer",56
,,Nathan Lane,,,,,,
227,Kristin Scott Thomas,Dr. François Olivennes,,,,5.17,Actress,52
,,Kristin Scott Thomas,,,,,,
227,Robin Wright,Sean Penn,,Robin Wright,Robin Wright,5.17,Actress,46
,,Robin Wright,,Charlie Sheen,Colin Farrell,,,
,,Dane Witherspoon,,Robin Wright,,,,
,,Robin Wright,,Jason Patric,,,,
,,,,Robin Wright,,,,
,,,,Charlie Sheen,,,,
,,,,Robin Wright,,,,
,,,,Eric Stoltz,,,,
230,Zach Braff,,,Kirsten Dunst,Drew Barrymore,5.16,"Actor, Director, Producer, Writer",37
,,,,Zach Braff,Zach Braff,,,
,,,,Drew Barrymore,Kirsten Dunst,,,
,,,,Zach Braff,Zach Braff,,,
,,,,Bonnie Somerville,,,,
,,,,Zach Braff,,,,
,,,,Mandy Moore,,,,
,,,,Zach Braff,,,,
,,,,Shiri Appleby,,,,
,,,,Zach Braff,,,,
,,,,Isabel Lucas,,,,
,,,,Zach Braff,,,,
,,,,Sarah Chalke,,,,
,,,,Zach Braff,,,,
,,,,Mandy Moore,,,,
,,,,Zach Braff,,,,
,,,,Zach Braff,,,,
,,,,Bonnie Somerville,,,,
,,,,Zach Braff,,,,
,,,,Shiri Appleby,,,,
230,Hilary Duff,Mike Comrie,Hilary Duff,Hilary Duff,Jesse McCartney,5.16,"Actress, Producer, Singer",24
,,Hilary Duff,Joel Madden,Joel Madden,Hilary Duff,,,
,,,,Mike Comrie,,,,
,,,,Hilary Duff,,,,
,,,,Hilary Duff,,,,
,,,,Jordy Masterson,,,,
,,,,Hilary Duff,,,,
,,,,Aaron Carter,,,,
,,,,Hilary Duff,,,,
,,,,Chad Michael Murray,,,,
,,,,Hilary Duff,,,,
,,,,Joel Madden,,,,
,,,,Hilary Duff,,,,
,,,,Mike Comrie,,,,
,,,,Hilary Duff,,,,
,,,,Barry Zito,,,,
,,,,Hilary Duff,,,,
,,,,Frankie Muniz,,,,
,,,,Hilary Duff,,,,
,,,,Frankie Delgado,,,,
232,Jonah Hill,,Jonah Hill,Mary-Kate Olsen,Jonah Hill,5.15,"Actor, Singer (Cameo), Writer",28
,,,Mary-Kate Olsen,Jonah Hill,Mary-Kate Olsen,,,
232,Helen Hunt,Helen Hunt,,Helen Hunt,,5.15,"Actress, Director, Producer, Writer",49
,,Hank Azaria,,Eric Stoltz,,,,
,,Matthew Carnahan,,Helen Hunt,,,,
,,Helen Hunt,,Matthew Broderick,,,,
,,,,Kevin Spacey,,,,
,,,,Helen Hunt,,,,
,,,,Helen Hunt,,,,
,,,,Matthew Carnahan,,,,
234,Anna Faris,Chris Pratt,,Anna Faris,,5.13,"Actress, Producer, Singer (Cameo)",35
,,Anna Faris,,Chris Pratt,,,,
,,Ben Indra,,,,,,
,,Anna Faris,,,,,,
235,Edward Burns,Edward Burns,,Heather Graham,,5.12,"Actor, Director, Producer, Writer",44
,,Christy Turlington Burns,,Edward Burns,,,,
,,,,Edward Burns,,,,
,,,,Maxine Bahns,,,,
,,,,Winona Ryder,,,,
,,,,Edward Burns,,,,
,,,,Edward Burns,,,,
,,,,Lauren Holly,,,,
235,Hayden Christensen,Rachel Bilson,,Hayden Christensen,Hayden Christensen,5.12,"Actor, Producer",31
,,Hayden Christensen,,A. J. Cook,Rachel Bilson,,,
,,,,Rachel Bilson,Hayden Christensen,,,
,,,,Hayden Christensen,Sienna Miller,,,
,,,,Hayden Christensen,,,,
,,,,A. J. Cook,,,,
,,,,Hayden Christensen,,,,
,,,,Lola Skye,,,,
,,,,Natalie Portman,,,,
,,,,Hayden Christensen,,,,
,,,,Hayden Christensen,,,,
,,,,Elisabetta Canalis,,,,
,,,,Hayden Christensen,,,,
,,,,Eva Longoria,,,,
235,Topher Grace,,,Topher Grace,Topher Grace,5.12,"Actor, Producer, Singer (Cameo), Writer",34
,,,,Anne Hathaway,Sophia Bush,,,
,,,,Topher Grace,Topher Grace,,,
,,,,Emmy Rossum,Ivanka Trump,,,
,,,,Scarlett Johansson,,,,
,,,,Topher Grace,,,,
,,,,Topher Grace,,,,
,,,,Ginnifer Goodwin,,,,
,,,,Audrey Tautou,,,,
,,,,Topher Grace,,,,
,,,,Topher Grace,,,,
,,,,Ivanka Trump,,,,
,,,,Topher Grace,,,,
,,,,Katie Melua,,,,
,,,,Topher Grace,,,,
,,,,Teresa Palmer,,,,
,,,,Topher Grace,,,,
,,,,Laura Prepon,,,,
235,Emily Watson,Jack Waters,,,,5.12,Actress,45
,,Emily Watson,,,,,,
239,Elizabeth Banks,Max Handelman,,Max Handelman,,5.1,"Actress, Producer",38
,,Elizabeth Banks,,Elizabeth Banks,,,,
239,Juliette Binoche,André Hallé,,Olivier Martinez,,5.1,Actress,48
,,Juliette Binoche,,Juliette Binoche,,,,
,,Juliette Binoche,,,,,,
,,Benoît Magimel,,,,,,
,,Léos Carax,,,,,,
,,Juliette Binoche,,,,,,
,,Santiago Amigorena,,,,,,
,,Juliette Binoche,,,,,,
,,Olivier Martinez,,,,,,
,,Juliette Binoche,,,,,,
239,Claire Danes,Hugh Dancy,Mary-Louise Parker,Matt Damon,,5.1,Actress,33
,,Claire Danes,Claire Danes,Claire Danes,,,,
,,,Billy Crudup,Hugh Dancy,,,,
,,,,Claire Danes,,,,
,,,,Billy Crudup,,,,
,,,,Claire Danes,,,,
,,,,Ben Lee,,,,
,,,,Claire Danes,,,,
,,,,Andrew Dorff,,,,
,,,,Claire Danes,,,,
,,,,Matt Damon,,,,
,,,,Claire Danes,,,,
,,,,Claire Danes,,,,
,,,,Andrew Dorff,,,,
,,,,Claire Danes,,,,
,,,,Hugh Dancy,,,,
,,,,Leonardo DiCaprio,,,,
,,,,Claire Danes,,,,
,,,,Claire Danes,,,,
,,,,Ben Lee,,,,
239,Andy García,Andy García,,,,5.1,"Actor, Composer, Director, Producer, Singer (Cameo)",56
,,Marivi Lorido Garcia,,,,,,
239,Tilda Swinton,Tilda Swinton,,Tilda Swinton,,5.1,Actress,51
,,Sandro Kopp,,Sandro Kopp,,,,
,,Tilda Swinton,,Quentin Tarantino,,,,
,,John Byrne,,Tilda Swinton,,,,
239,Elijah Wood,,,Liv Tyler,Pamela Racine,5.1,Actor,31
,,,,Elijah Wood,Elijah Wood,,,
,,,,Pamela Racine,,,,
,,,,Elijah Wood,,,,
,,,,Elijah Wood,,,,
,,,,Pamela Racine,,,,
,,,,Elijah Wood,,,,
,,,,Franka Potente,,,,
245,Goldie Hawn,Bill Hudson,,Goldie Hawn,,5.08,"Actor, Director, Producer, Singer (Cameo)",66
,,Goldie Hawn,,Kurt Russell,,,,
,,Kurt Russell,,Goldie Hawn,,,,
,,Goldie Hawn,,Warren Beatty,,,,
,,Gus Trikonis,,Goldie Hawn,,,,
,,Goldie Hawn,,Bruno Wintzell,,,,
245,Katie Holmes,Katie Holmes,Chris Klein,Katie Holmes,Katie Holmes,5.08,Actress,33
,,Tom Cruise,Katie Holmes,Tom Cruise,Josh Hartnett,,,
,,,Joshua Jackson,Chris Klein,Katie Holmes,,,
,,,Katie Holmes,Katie Holmes,James Van Der Beek,,,
,,,Josh Hartnett,Joshua Jackson,,,,
,,,Katie Holmes,Katie Holmes,,,,
,,,,Josh Hartnett,,,,
,,,,Katie Holmes,,,,
,,,,James Marsden,,,,
,,,,Katie Holmes,,,,
,,,,James Van Der Beek,,,,
,,,,Katie Holmes,,,,
,,,,Joshua Jackson,,,,
,,,,Katie Holmes,,,,
,,,,Chris Klein,,,,
,,,,Katie Holmes,,,,
245,Dennis Hopper,Dennis Hopper,Dennis Hopper,Victoria Duffy,Dennis Hopper,5.08,"Actor, Director, Writer",76
,,Brooke Hayward,Brooke Hayward,Dennis Hopper,Barbara Payton,,,
,,Dennis Hopper,Daria Halprin,Dennis Hopper,,,,
,,Michelle Phillips,Dennis Hopper,Ursula Andress,,,,
,,Dennis Hopper,Katherine La Nasa,Dennis Hopper,,,,
,,Daria Halprin,Dennis Hopper,Daria Halprin,,,,
,,Dennis Hopper,Dennis Hopper,Dennis Hopper,,,,
,,Katherine La Nasa,Michelle Phillips,Dennis Hopper,,,,
,,Victoria Duffy,Natalie Wood,Brooke Hayward,,,,
,,Dennis Hopper,Dennis Hopper,Dennis Hopper,,,,
,,,,Michelle Phillips,,,,
,,,,Natalie Wood,,,,
,,,,Dennis Hopper,,,,
,,,,Katherine La Nasa,,,,
,,,,Dennis Hopper,,,,
,,,,Dennis Hopper,,,,
245,Mandy Moore,Ryan Adams,,Mandy Moore,Dana White,5.08,"Actress, Singer",28
,,Mandy Moore,,Zach Braff,Mandy Moore,,,
,,,,Ryan Adams,,,,
,,,,Mandy Moore,,,,
,,,,Mandy Moore,,,,
,,,,Wilmer Valderrama,,,,
,,,,Mandy Moore,,,,
,,,,Zach Braff,,,,
,,,,Mandy Moore,,,,
,,,,Billy Crawford,,,,
,,,,Mandy Moore,,,,
,,,,Greg Laswell,,,,
,,,,Ryan Adams,,,,
,,,,Mandy Moore,,,,
,,,,Andy Roddick,,,,
,,,,Mandy Moore,,,,
,,,,Mandy Moore,,,,
,,,,Adam Goldstein,,,,
249,Roberto Benigni,Nicoletta Braschi,,,,5.05,"Actor, Director, Producer, Writer",59
,,Roberto Benigni,,,,,,
249,Marion Cotillard,Marion Cotillard,,,,5.05,Actress,36
,,Guillaume Canet,,,,,,
249,Billy Crudup,Billy Crudup,Mary-Louise Parker,Billy Crudup,,5.05,"Actor, Stage Performer (Play)",44
,,Mary-Louise Parker,Claire Danes,Claire Danes,,,,
,,,Billy Crudup,Mary-Louise Parker,,,,
,,,,Billy Crudup,,,,
,,,,Billy Crudup,,,,
,,,,Laurel Holloman,,,,
,,,,Jennifer Connelly,,,,
,,,,Billy Crudup,,,,
,,,,Claire Danes,,,,
,,,,Billy Crudup,,,,
249,Milla Jovovich,Luc Besson,,,,5.05,"Actress, Composer, Singer (Cameo)",36
,,Milla Jovovich,,,,,,
,,Shawn Andrews,,,,,,
,,Milla Jovovich,,,,,,
,,Paul W. S. Anderson,,,,,,
,,Milla Jovovich,,,,,,
,,Stuart Zender,,,,,,
,,Milla Jovovich,,,,,,
253,Kim Basinger,Alec Baldwin,,Jeff Bridges,Mickey Rourke,5.03,Actress,58
,,Kim Basinger,,Kim Basinger,Kim Basinger,,,
,,Ron Snyder,,Kim Basinger,,,,
,,Kim Basinger,,Jan-Michael Vincent,,,,
,,,,Robert Redford,,,,
,,,,Kim Basinger,,,,
,,,,Kim Basinger,,,,
,,,,Jon Peters,,,,
,,,,Kim Basinger,,,,
,,,,Prince,,,,
253,Tim Roth,Nikki Butler,,,,5.03,"Actor, Director, Singer (Cameo)",51
,,Tim Roth,,,,,,
255,Ian McKellen,Brian Taylor,,,,5.02,"Actor, Producer, Singer (Cameo), Writer",73
,,Ian McKellen,,,,,,
,,Sean Mathias,,,,,,
,,Ian McKellen,,,,,,
256,John Slattery,John Slattery,,,,5,"Actor, Director, Producer, Writer",45
,,Talia Balsam,,,,,,
256,Audrey Tautou,,,Audrey Tautou,,5,Actress,35
,,,,Topher Grace,,,,
258,Kate Bosworth,,,Kate Bosworth,,4.98,Actress,29
,,,,James Rousseau,,,,
,,,,Kate Bosworth,,,,
,,,,James Rousseau,,,,
,,,,Kate Bosworth,,,,
,,,,Matt Czuchry,,,,
,,,,Orlando Bloom,,,,
,,,,Kate Bosworth,,,,
258,Amanda Bynes,,Doug Reinhardt,Doug Reinhardt,Doug Reinhardt,4.98,"Actress, Singer (Cameo)",26
,,,Amanda Bynes,Amanda Bynes,Amanda Bynes,,,
,,,,Sam Fox,Jonathan Bennett,,,
,,,,Amanda Bynes,Amanda Bynes,,,
,,,,Seth MacFarlane,Amanda Bynes,,,
,,,,Amanda Bynes,Shia LaBeouf,,,
,,,,Amanda Bynes,,,,
,,,,Aaron Carter,,,,
,,,,Amanda Bynes,,,,
,,,,Nick Zano,,,,
,,,,Amanda Bynes,,,,
,,,,Wesley Jonathan,,,,
,,,,Frankie Muniz,,,,
,,,,Amanda Bynes,,,,
,,,,Amanda Bynes,,,,
,,,,Taran Killam,,,,
258,Djimon Hounsou,Kimora Lee Simmons,,Djimon Hounsou,Cameron Diaz,4.98,Actor,48
,,Djimon Hounsou,,Kimora Lee Simmons,Djimon Hounsou,,,
,,,,,Kola Boof,,,
,,,,,Djimon Hounsou,,,
258,Jason Schwartzman,Brady Cunningham,Jason Schwartzman,Jason Schwartzman,,4.98,"Actor, Musician, Singer (Cameo), Writer",32
,,Jason Schwartzman,Zooey Deschanel,Zooey Deschanel,,,,
,,,,Selma Blair,,,,
,,,,Jason Schwartzman,,,,
,,,,Zooey Deschanel,,,,
,,,,Jason Schwartzman,,,,
262,Rowan Atkinson,Sunetra Sastry,,,,4.97,"Actor, Director, Producer, Writer",57
,,Rowan Atkinson,,,,,,
263,Matthew Fox,Margherita Ronchi,,Margherita Ronchi,,4.95,Actor,46
,,Matthew Fox,,Matthew Fox,,,,
263,Jon Heder,Kirsten Heder,,,,4.95,"Actor, Producer",34
,,Jon Heder,,,,,,
263,Jean Reno,Zofia Borucka,,,,4.95,Actress,63
,,Jean Reno,,,,,,
,,Genevieve Reno,,,,,,
,,Jean Reno,,,,,,
,,Nathalie Dyszkiewicz,,,,,,
,,Jean Reno,,,,,,
263,Marlon Wayans,Angelica Zachary,,,,4.95,"Actor, Director, Producer, Writer",40
,,Marlon Wayans,,,,,,
267,Sarah Michelle Gellar,"Freddie Prinze, Jr.",,Sarah Michelle Gellar,,4.94,"Actress, Singer (Cameo)",35
,,Sarah Michelle Gellar,,David Boreanaz,,,,
,,,,Sarah Michelle Gellar,,,,
,,,,Elliot Segal,,,,
,,,,Sarah Michelle Gellar,,,,
,,,,Jerry O'Connell,,,,
268,Helena Bonham Carter,Tim Burton,,Helena Bonham Carter,,4.93,"Actor, Singer (Cameo), Voice (Animated project)",46
,,Helena Bonham Carter,,Steve Martin,,,,
,,,,Helena Bonham Carter,,,,
,,,,Kenneth Branagh,,,,
,,,,Helena Bonham Carter,,,,
,,,,Rufus Sewell,,,,
268,Steve Buscemi,Jo Andres,,,,4.93,"Actor, Director, Producer, Singer (Cameo), Writer",54
,,Steve Buscemi,,,,,,
268,Dane Cook,,,Raquel Houghton,Charlize Theron,4.93,"Actor, Comedian, Director, Producer, Writer",40
,,,,Dane Cook,Dane Cook,,,
268,Hugh Laurie,Hugh Laurie,,Hugh Laurie,,4.93,"Actor, Composer, Director, Producer, Singer (Cameo), Writer",53
,,Jo Green,,Emma Thompson,,,,
272,Chris Cooper,Chris Cooper,,,,4.92,Actor,61
,,Marianne Leone Cooper,,,,,,
272,Damon Wayans,Lisa Thorner,,Robin Givens,,4.92,Actor,51
,,Damon Wayans,,Damon Wayans,,,,
274,Paul Bettany,Jennifer Connelly,,Paul Bettany,,4.9,Actor,41
,,Paul Bettany,,Laura Fraser,,,,
,,,,Olivia Williams,,,,
,,,,Paul Bettany,,,,
274,Jessica Lange,Jessica Lange,,Jack Nicholson,,4.9,"Actress, Producer",63
,,Sam Shepard,,Jessica Lange,,,,
,,Paco Grande,,,,,,
,,Jessica Lange,,,,,,
,,Jessica Lange,,,,,,
,,Mikhail Baryshnikov,,,,,,
,,Francisco Grande,,,,,,
,,Jessica Lange,,,,,,
274,Eva Longoria,Eva Longoria,,JC Chasez,,4.9,"Actress, Producer",37
,,Tyler Christopher,,Eva Longoria,,,,
,,Tony Parker,,Eva Longoria,,,,
,,Eva Longoria,,Milan Gracanin,,,,
,,,,Eva Longoria,,,,
,,,,Sid Laura Horowitz,,,,
,,,,Eva Longoria,,,,
,,,,Ken Paves,,,,
,,,,Hayden Christensen,,,,
,,,,Eva Longoria,,,,
277,John Turturro,Katherine Borowitz,,,,4.87,Actor,55
,,John Turturro,,,,,,
278,Albert Brooks,Kimberly Shlain,,Linda Ronstadt,Carole Mallory,4.86,"Actor, Director, Singer (Cameo), Writer",65
,,Albert Brooks,,Albert Brooks,Albert Brooks,,,
,,,,Albert Brooks,,,,
,,,,Julie Hagerty,,,,
,,,,Albert Brooks,,,,
,,,,Linda Ronstadt,,,,
279,Bette Midler,Bette Midler,,,,4.85,"Actress, Composer, Producer, Singer, Writer",66
,,Martin von Haselberg,,,,,,
279,Amy Poehler,Will Arnett,,,,4.85,"Actress, Producer, Singer (Cameo), Writer",40
,,Amy Poehler,,,,,,
281,David Duchovny,Téa Leoni,Téa Leoni,Minnie Driver,David Duchovny,4.84,"Actor, Director, Producer, Writer",51
,,David Duchovny,David Duchovny,David Duchovny,Gillian Anderson,,,
,,,,David Duchovny,Winona Ryder,,,
,,,,Minnie Driver,David Duchovny,,,
,,,,David Duchovny,,,,
,,,,Perrey Reeves,,,,
,,,,David Duchovny,,,,
,,,,Lisa Loeb,,,,
,,,,David Duchovny,,,,
,,,,Gillian Anderson,,,,
,,,,David Duchovny,,,,
,,,,Sheryl Lee,,,,
,,,,David Duchovny,,,,
,,,,Sam Phillips,,,,
,,,,David Duchovny,,,,
,,,,Brooke Ainsley,,,,
281,Michael Keaton,Michael Keaton,,Michael Keaton,,4.84,"Actor, Director, Producer",60
,,Caroline McWilliams,,Courteney Cox,,,,
,,Michael Keaton,,Michelle Pfeiffer,,,,
,,Courteney Cox,,Michael Keaton,,,,
,,,,Michael Keaton,,,,
,,,,Rachel Ryan,,,,
281,Nick Nolte,Clytie Lane,Nick Nolte,Nick Nolte,,4.84,"Actor, Producer",71
,,Nick Nolte,Debra Winger,Debra Winger,,,,
,,Vicki Lewis,,Nick Nolte,,,,
,,Nick Nolte,,Debra Winger,,,,
,,Sheila Page,,,,,,
,,Nick Nolte,,,,,,
,,Sharyn Haddad,,,,,,
,,Nick Nolte,,,,,,
,,Rebecca Linger,,,,,,
,,Nick Nolte,,,,,,
,,Karen Ecklund,,,,,,
,,Nick Nolte,,,,,,
281,Martin Sheen,Janet Sheen,,,,4.84,"Actor, Director, Producer",71
,,Martin Sheen,,,,,,
285,Abigail Breslin,,,,,4.83,Actress,16
285,Christopher Guest,Christopher Guest,,,,4.83,"Actor, Composer, Director, Producer, Writer",64
,,Jamie Lee Curtis,,,,,,
285,William Hurt,William Hurt,,William Hurt,,4.83,"Actor, Producer",62
,,Sandrine Bonnaire,,Sandra Jennings,,,,
,,Heidi Henderson,,William Hurt,,,,
,,William Hurt,,Sandrine Bonnaire,,,,
,,Mary Beth Hurt,,Glenn Close,,,,
,,William Hurt,,William Hurt,,,,
,,Sandra Jennings,,William Hurt,,,,
,,William Hurt,,Marlee Matlin,,,,
,,Marlee Matlin,,,,,,
,,William Hurt,,,,,,
285,Guy Pearce,Kate Mestitz,,,,4.83,"Actor, Singer (Cameo)",44
,,Guy Pearce,,,,,,
285,Channing Tatum,Jenna Dewan,,Channing Tatum,Channing Tatum,4.83,Actor,32
,,Channing Tatum,,Jenna Dewan,Eliska Amor,,,
290,Willem Dafoe,Giada Colagrande,,Willem Dafoe,,4.82,"Actor, Producer, Writer",57
,,Willem Dafoe,,Mira Sorvino,,,,
,,Elizabeth LeCompte,,,,,,
,,Willem Dafoe,,,,,,
290,Danny DeVito,Danny DeVito,,,,4.82,"Actor, Director, Producer, Singer (Cameo), Writer",67
,,Rhea Perlman,,,,,,
290,Jennifer Hudson,David Otunga,,,,4.82,"Actress, Reality TV, Singer",30
,,Jennifer Hudson,,,,,,
290,Stanley Tucci,Kate Tucci,,,,4.82,Actor,51
,,Stanley Tucci,,,,,,
290,Jon Voight,Lauri Peters,,,,4.82,Actor,73
,,Jon Voight,,,,,,
,,Marcheline Bertrand,,,,,,
,,Jon Voight,,,,,,
295,Emily Mortimer,Alessandro Nivola,,,,4.81,Actress,40
,,Emily Mortimer,,,,,,
295,Michelle Williams,Heath Ledger,,,,4.81,Actress,31
,,Michelle Williams,,,,,,
297,Selma Blair,Ahmet Zappa,,Selma Blair,,4.8,Actress,40
,,Selma Blair,,Matthew Felker,,,,
,,Jason Bleick,,Selma Blair,,,,
,,Selma Blair,,Jason Schwartzman,,,,
,,,,Selma Blair,,,,
,,,,Johnny Messner,,,,
,,,,Selma Blair,,,,
,,,,Christopher Masterson,,,,
297,Rosario Dawson,,Rosario Dawson,Rosario Dawson,Rosario Dawson,4.8,"Actor, Producer, Singer (Cameo)",33
,,,Joshua Jackson,Joshua Jackson,Wilmer Valderrama,,,
,,,,Rosario Dawson,,,,
,,,,Mathieu Schreyer,,,,
,,,,Joshua Jackson,,,,
,,,,Rosario Dawson,,,,
