Source,Target,Type,Id,Label,Weight
p46,p515,Undirected,177,,2.0
p46,p432,Undirected,178,,4.0
p47,p140,Undirected,179,,2.0
p47,p227,Undirected,180,,2.0
p47,p348,Undirected,181,,4.0
p47,p420,Undirected,182,,2.0
p48,p58,Undirected,183,,2.0
p48,p123,Undirected,184,,2.0
p48,p339,Undirected,185,,2.0
p48,p365,Undirected,186,,2.0
p49,p178,Undirected,187,,2.0
p49,p228,Undirected,188,,2.0
p50,p75,Undirected,189,,2.0
p50,p93,Undirected,190,,2.0
p50,p112,Undirected,191,,2.0
p50,p221,Undirected,192,,2.0
p50,p251,Undirected,193,,2.0
p51,p68,Undirected,194,,4.0
p52,p98,Undirected,195,,2.0
p53,p246,Undirected,196,,2.0
p54,p75,Undirected,197,,2.0
p55,p3,Undirected,198,,1.0
p56,p369,Undirected,199,,1.0
p56,p376,Undirected,200,,2.0
p57,p110,Undirected,201,,2.0
p58,p97,Undirected,202,,2.0
p58,p156,Undirected,203,,2.0
p59,p83,Undirected,204,,4.0
p59,p287,Undirected,205,,2.0
p59,p371,Undirected,206,,2.0
p59,p383,Undirected,207,,2.0
p59,p454,Undirected,208,,2.0
p59,p579,Undirected,209,,2.0
p60,p87,Undirected,210,,4.0
p60,p320,Undirected,211,,2.0
p60,p412,Undirected,212,,2.0
p60,p442,Undirected,213,,2.0
p60,p550,Undirected,214,,2.0
p61,p132,Undirected,215,,2.0
p61,p148,Undirected,216,,4.0
p61,p156,Undirected,217,,2.0
p61,p170,Undirected,218,,2.0
p61,p239,Undirected,219,,2.0
p61,p385,Undirected,220,,2.0
p61,p233,Undirected,221,,1.0
p62,p66,Undirected,222,,2.0
p62,p115,Undirected,223,,1.0
p62,p133,Undirected,224,,2.0
p63,p83,Undirected,225,,2.0
p63,p86,Undirected,226,,2.0
p63,p93,Undirected,227,,2.0
p63,p115,Undirected,228,,2.0
p63,p163,Undirected,229,,2.0
p63,p371,Undirected,230,,2.0
p63,p440,Undirected,231,,2.0
p63,p518,Undirected,232,,2.0
p64,p206,Undirected,233,,2.0
p64,p358,Undirected,234,,2.0
p65,p67,Undirected,235,,2.0
p65,p407,Undirected,236,,2.0
p65,p585,Undirected,237,,1.0
p66,p70,Undirected,238,,2.0
p66,p137,Undirected,239,,2.0
p66,p169,Undirected,240,,2.0
p67,p83,Undirected,241,,2.0
p67,p394,Undirected,242,,2.0
p68,p458,Undirected,243,,2.0
p69,p336,Undirected,244,,2.0
p69,p524,Undirected,245,,2.0
p70,p58,Undirected,246,,2.0
p72,p167,Undirected,247,,2.0
p73,p60,Undirected,248,,1.0
p73,p227,Undirected,249,,2.0
p74,p21,Undirected,250,,1.0
p74,p80,Undirected,251,,2.0
p74,p108,Undirected,252,,4.0
p74,p136,Undirected,253,,4.0
p74,p406,Undirected,254,,2.0
p75,p145,Undirected,255,,4.0
p76,p47,Undirected,256,,1.0
p76,p221,Undirected,257,,2.0
p76,p276,Undirected,258,,2.0
p77,p409,Undirected,259,,2.0
p78,p21,Undirected,260,,1.0
p78,p109,Undirected,261,,4.0
p79,p149,Undirected,262,,1.0
p79,p262,Undirected,263,,2.0
p79,p476,Undirected,264,,2.0
p79,p489,Undirected,265,,2.0
p80,p117,Undirected,266,,2.0
p80,p238,Undirected,267,,2.0
p80,p257,Undirected,268,,2.0
p80,p337,Undirected,269,,1.0
p80,p412,Undirected,270,,2.0
p80,p416,Undirected,271,,2.0
p80,p469,Undirected,272,,2.0
p81,p220,Undirected,273,,2.0
p81,p385,Undirected,274,,2.0
p81,p456,Undirected,275,,2.0
p82,p135,Undirected,276,,2.0
p82,p143,Undirected,277,,1.0
p82,p194,Undirected,278,,2.0
p82,p225,Undirected,279,,2.0
p83,p319,Undirected,280,,2.0
p84,p117,Undirected,281,,4.0
p84,p261,Undirected,282,,2.0
p85,p412,Undirected,283,,2.0
p86,p97,Undirected,284,,2.0
