"rank","name","score","profession","age"
"440","Mila Kunis","4.12","Actor, Singer (Cameo)","28"
"440","Til Schweiger","4.12","Actor, Director, Producer, Writer","48"
"442","Rose McGowan","4.10","Actress, Singer (Cameo)","38"
"442","Joe Pesci","4.10","Actor, Singer (Cameo)","69"
"442","Mira Sorvino","4.10","Actress","44"
"445","James Caan","4.09","Actor, Director, Singer (Cameo)","72"
"445","Larry the Cable Guy (Daniel Lawrence Whitney)","4.09","Actor, Producer, Writer","49"
"447","Heather Graham","4.06","Actor, Producer, Singer (Cameo)","42"
"448","Seth Green","4.05","Actor, Director, Producer, Writer","38"
"448","John Lithgow","4.05","Actor, Producer, Singer (Cameo), Writer","66"
"450","Julie Christie","4.04","Actress","71"
"450","Joseph Gordon-Levitt","4.04","Actor","31"
"452","John Hurt","4.03","Actor, Singer (Cameo)","72"
"452","Eddie Izzard","4.03","Actor, Comedian, Producer, Singer (Cameo), Writer","50"
"454","Laura Dern","4.02","Actress, Director, Producer","45"
"454","Isabella Rossellini","4.02","Actress","60"
"454","Emma Watson","4.02","Actress","22"
"457","Ludacris (Chris Bridges)","4.01","Actor, Musician, Producer, Rapper","34"
"457","Harry Connick","4.01","Actor, Composer, Musician, Producer","44"
"457","Sandra Oh","4.01","Actress, Singer (Cameo)","41"
"460","Rachel Bilson","4.00","Actress","30"
"460","Brittany Murphy","4.00","Actress, Producer, Singer (Cameo)","34"
"462","Bradley Cooper","3.99","Actor","37"
"462","Jenna Fischer","3.99","Actress, Director, Singer (Cameo), Writer","38"
"462","Peter O'Toole","3.99","Actor, Director, Producer, Singer (Cameo)","79"
"462","Jessica Simpson","3.99","Actress","32"
"462","Jean-Claude Van Damme","3.99","Actor","51"
"467","Scott Speedman","3.97","Actor","36"
"468","Robert Carlyle","3.96","Actor","51"
"468","Amy Ryan","3.96","Actress, Producer","42"
"468","Sarah Silverman","3.96","Actress","41"
"471","Brenda Blethyn","3.95","Actress","66"
"471","Benjamin Bratt","3.95","Actor, Producer","48"
"471","Dougray Scott","3.95","Actor, Producer","46"
"474","Chris Evans","3.94","Actor","31"
"474","Dylan McDermott","3.94","Actor, Director","50"
"474","Dermot Mulroney","3.94","Actor, Musician, Producer, Singer (Cameo)","48"
"474","Kal Penn","3.94","Actor, Producer, Singer (Cameo)","35"
"474","Andy Samberg","3.94","Actor, Director, Producer, Singer (Cameo), Writer","33"
"474","Tom Selleck","3.94","Actor, Producer, Singer (Cameo), Writer","67"
"474","Dante Terrell Smith","3.94","Actor, Producer, Rapper, Writer","38"
"481","Russell Brand","3.93","Actor, Comedian, Producer, Singer (Cameo)","37"
"482","Ellen Barkin","3.92","Actress","58"
"482","Bob Hoskins","3.92","Actor, Director, Producer, Singer (Cameo), Writer","69"
"482","Rob Lowe","3.92","Actor, Director, Producer, Singer (Cameo), Writer","58"
"482","Lena Olin","3.92","Actress","57"
"482","Sam Shepard","3.92","Actor","68"
"482","David Thewlis","3.92","Actor, Director","49"
"488","Kristen Bell","3.91","Actress, Stage Performer (Musical), Stage Performer (Play)","32"
"489","Jamie Kennedy","3.90","Actor, Producer, Singer (Cameo), Writer","42"
"489","Virginia Madsen","3.90","Actress, Producer","50"
"489","Mekhi Phifer","3.90","Actor, Director, Producer","37"
"489","Tony Shalhoub","3.90","Actor, Director, Producer","58"
"493","Adam Brody","3.89","Actor, Producer, Writer","32"
"493","Hope Davis","3.89","Actress, Singer (Cameo), Stage Performer (Musical), Stage Performer (Play)","48"
"493","Dianne Wiest","3.89","Actress","64"
"496","Sissy Spacek","3.88","Actress","62"
"497","Michael Chiklis","3.87","Director, Producer","48"
"497","Jeff Goldblum","3.87","Actor, Director, Producer, Singer (Cameo)","59"
"499","Matthew Goode","3.86","Actor","34"
"499","Giovanni Ribisi","3.86","Actor, Singer (Cameo)","37"
"501","James Belushi","3.85","Actor, Composer, Director, Producer, Writer","58"
"501","Chris Klein","3.85","Actor, Singer (Cameo)","33"
"501","Rene Russo","3.85","Actress, Producer","58"
"504","Jonathan Pryce","3.84","Actor, Singer (Cameo)","65"
"505","Kristin Chenoweth","3.83","Actress","44"
"506","Gillian Anderson","3.82","Actress","43"
"506","Takeshi Kitano","3.82","Actor, Director, Producer, Writer","65"
"506","Matthew Modine","3.82","Actor, Director, Producer, Writer","53"
"509","Andre 3000 (Andre Benjamin)","3.81","Actor, Musician, Producer, Rapper, Singer","37"
"509","Neve Campbell","3.81","Actress, Dancer, Producer, Singer (Cameo), Writer","38"
"511","Brooke Shields","3.80","Actress","47"
"512","Anthony Edwards","3.79","Actor, Director, Producer","50"
"512","Andy Lau","3.79","Actor, Director, Producer, Singer (Cameo)","50"
"512","Sarah Polley","3.79","Actress, Director, Producer, Writer","33"
"515","Jamie Lee Curtis","3.78","Actress, Author, Director","53"
"515","Geena Davis","3.78","Actress, Producer, Singer (Cameo), Writer","56"
"515","Ian McShane","3.78","Actor, Director, Producer","69"
"515","Rob Schneider","3.78","Actor, Director, Producer, Singer (Cameo), Writer","48"
"519","Alan Cumming","3.77","Actor, Composer, Director, Producer, Singer, Stage Performer (Musical), Writer","47"
"519","Rupert Everett","3.77","Actor, Producer, Singer (Cameo), Voice (Animated project)","53"
"521","Mike Binder","3.76","Actor, Director, Producer, Writer","NA"
"521","Joshua Jackson","3.76","Actor, Director, Producer","34"
"521","Ashley Tisdale","3.76","Actress, Musician, Singer","27"
"524","Daniel Auteuil","3.75","Actor","62"
"524","Kim Cattrall","3.75","Actress, Producer","55"
"524","Emilio Estevez","3.75","Actor, Director, Producer, Singer (Cameo), Writer","50"
"527","Famke Janssen","3.74","Actress","46"
"527","Rufus Sewell","3.74","Actor","44"
"529","Vincent Cassel","3.73","Actor, Director, Producer, Singer (Cameo), Voice (Animated project), Writer","45"
"529","Calista Flockhart","3.73","Actress","47"
"529","Freddie Highmore","3.73","Actor","20"
"532","Alfred Molina","3.72","Actor, Producer, Singer (Cameo)","59"
"533","David Bowie","3.71","Actor, Composer, Director, Musician, Producer, Singer, Writer","65"
"533","Rhys Ifans","3.71","Actor, Singer (Cameo)","44"
"533","Alfre Woodard","3.71","Actress","59"
"536","Christina Applegate","3.70","Actress, Producer","40"
"537","Dan Aykroyd","3.69","Actor, Director, Producer, Writer","60"
"537","Jamie Bell","3.69","Actor","26"
"537","Allison Janney","3.69","Actress, Singer (Cameo)","52"
"540","Aamir Khan","3.68","Actor, Director, Producer, Writer","47"
"540","Kelly Preston","3.68","Actress","49"
"542","Eugene Levy","3.66","Actor, Composer, Director, Producer, Singer (Cameo), Writer","65"
"542","Bill Nighy","3.66","Actor, Singer (Cameo)","62"
"542","Eric Stoltz","3.66","Actor","50"
"545","Teri Hatcher","3.65","Actress, Writer","47"
"546","Joan Cusack","3.63","Actress, Singer (Cameo), Writer","49"
"546","Rachel Griffiths","3.63","Actress, Director, Writer","43"
"546","Brandon Routh","3.63","Actor, Producer","32"
"549","Brian Dennehy","3.62","Actor, Director, Producer, Singer (Cameo), Writer","74"
"549","Diego Luna","3.62","Actor, Director, Producer","32"
"551","Brian Cox","3.61","Actor, Singer (Cameo)","66"
"551","Vera Farmiga","3.61","Actress","38"
"551","Cynthia Nixon","3.61","Actress, Singer (Cameo)","46"
"551","Chris Noth","3.61","Actor, Producer, Writer","57"
"555","Andre Braugher","3.60","Actor, Director, Producer","50"
"555","Judy Davis","3.60","Actress","57"
"555","Blake Lively","3.60","Actress","24"
"558","Kyle MacLachlan","3.59","Actor, Director, Singer (Cameo)","53"
"559","Shawn Wayans","3.58","Actor, Director, Producer, Writer","43"
"560","Isabelle Huppert","3.57","Actress, Singer (Cameo)","59"
"560","Frank Langella","3.57","Actor","74"
"562","Daniel Bruhl","3.56","Actor","34"
"562","Elisha Cuthbert","3.56","Actress, Producer, Singer (Cameo)","29"
"562","Kristin Davis","3.56","Actress, Producer, Singer (Cameo)","47"
"562","Jennifer Love Hewitt","3.56","Actress, Producer, Singer (Cameo), Writer","33"
"566","Gary Cole","3.54","Actor","55"
"566","Ted Danson","3.54","Actor, Producer, Singer (Cameo)","64"
"568","Janet Jackson","3.53","Actress, Composer, Producer, Singer, Writer","46"
"569","David Arquette","3.52","Actor, Director, Producer, Writer","40"
"570","Tony Leung","3.51","Actor, Singer (Cameo)","50"
"570","Amber Tamblyn","3.51","Actress","29"
"572","Sanaa Lathan","3.50","Actress, Producer","40"
"572","Bridget Moynahan","3.50","Actress, Singer (Cameo)","41"
"572","Freddie Prinze","3.50","Actor, Producer, Singer (Cameo), Writer","36"
"572","Nick Stahl","3.50","Actor","32"
"576","Snoop Dogg (Cordozar Calvin Broadus)","3.49","Actor, Composer, Director, Producer, Rapper, Singer, Writer","40"
"576","Campbell Scott","3.49","Actor, Director, Producer, Writer","51"
"578","Mary-Kate Olsen","3.48","Actress, Producer","26"
"579","Daryl Hannah","3.47","Actress, Director, Producer, Writer","51"
"579","Ice-T (Tracy Lauren Marrow)","3.47","Actor, Composer, Producer, Rapper, Writer","54"
"581","Jon Bon Jovi","3.45","Actor, Composer, Musician, Singer","50"
"581","Edie Falco","3.45","Actress, Singer (Cameo)","49"
"583","Olivier Martinez","3.44","Actor","46"
"583","Raven-Symone (Raven-Symone Christina Pearman)","3.44","Actor, Producer, Singer (Cameo)","26"
"583","Blair Underwood","3.44","Actor","47"
"586","Tony Jaa","3.43","Actor, Director","36"
"586","James Earl Jones","3.43","Actor","81"
"588","James Cromwell","3.42","Actor, Producer","72"
"588","Franka Potente","3.42","Actress, Director, Singer (Cameo), Writer","38"
"590","Peter Dinklage","3.41","Actor","43"
"590","Adrian Grenier","3.41","Actor, Director, Producer, Writer","36"
"592","John Cho","3.40","Actor","40"
"592","Toby Jones","3.40","Actor","44"
"592","Anthony LaPaglia","3.40","Actor, Producer, Writer","53"
"595","Ioan Gruffudd","3.39","Actor, Singer (Cameo)","38"
"595","Diane Kruger","3.39","Actress, Producer","36"
"595","Terence Stamp","3.39","Actor","73"
"598","Albert Finney","3.38","Actor, Director, Producer, Singer (Cameo)","76"
"599","Chace Crawford","3.37","Actor","27"
"599","Peter Fonda","3.37","Actor, Director, Producer, Writer","72"
"599","Lauren Graham","3.37","Actress, Producer, Singer (Cameo)","45"
"599","Mena Suvari","3.37","Actress","33"
"603","Alexis Bledel","3.36","Actress","30"
"603","Beau Bridges","3.36","Actor, Director, Producer, Singer (Cameo)","70"
"605","Jason Isaacs","3.35","Actor, Singer (Cameo)","49"
"605","Jena Malone","3.35","Actress, Producer","27"
"607","Danny R. McBride","3.34","Actor, Producer, Writer","35"
"607","Dominic Monaghan","3.34","Actor","35"
"609","Robbie Coltrane","3.33","Actor, Director, Producer, Writer","62"
"609","Hugh Dancy","3.33","Actor","37"
"609","James Purefoy","3.33","Actor","48"
"609","Miranda Richardson","3.33","Actress, Singer (Cameo)","54"
"609","Alicia Silverstone","3.33","Actress, Producer","35"
"614","James Brolin","3.32","Actor, Director, Producer","72"
"614","Jackie Earle Haley","3.32","Actor, Writer","51"
"616","Cary Elwes","3.31","Actor, Producer","49"
"616","Steven Seagal","3.31","Actor, Director, Producer, Singer (Cameo), Writer","61"
"618","Jon Cryer","3.30","Actor, Director, Producer, Writer","47"
"618","Shirley MacLaine","3.30","Actress, Director, Producer, Singer (Cameo), Writer","78"
"620","Sean Astin","3.29","Actor, Director, Producer, Writer","41"
"620","Richard E. Grant","3.29","Actor, Director, Singer (Cameo), Writer","55"
"622","Christopher Meloni","3.28","Actor","51"
"623","Mischa Barton","3.27","Actress","26"
"623","Sean Bean","3.27","Actor","53"
"623","Vanessa Hudgens","3.27","Actress, Singer","23"
"626","Camilla Belle","3.26","Actress","25"
"627","Eva Green","3.25","Actress","32"
"627","Stuart Townsend","3.25","Actor","39"
"629","Anthony Anderson","3.24","Actor","41"
"629","Patricia Arquette","3.24","Actress","44"
"629","Michael Clarke Duncan","3.24","Actor, Singer (Cameo)","54"
"629","Christopher Eccleston","3.24","Actor","48"
"629","Giancarlo Giannini","3.24","Actor, Director, Producer, Writer","69"
"629","Juliette Lewis","3.24","Actress, Singer (Cameo)","39"
"629","Catherine O'Hara","3.24","Actress, Director, Singer (Cameo), Writer","58"
"629","Gena Rowlands","3.24","Actress, Singer (Cameo), Writer","82"
"629","Andy Serkis","3.24","Actor, Director","48"
"629","Noah Wyle","3.24","Actor, Director, Producer","41"
"639","Ian Holm","3.23","Actor, Singer (Cameo)","80"
"639","Gabriel Macht","3.23","Actor, Producer","40"
"641","Kieran Culkin","3.22","Actor","29"
"641","Carmen Electra","3.22","Actress, Singer (Cameo)","40"
"641","Chris O'Donnell","3.22","Actor, Producer","42"
"641","Catalina Sandino Moreno","3.22","Actress","31"
"645","Tom Arnold","3.21","Actor, Comedian","53"
"645","Paris Hilton","3.21","Actress, Musician, Producer","31"
"645","Malcolm McDowell","3.21","Actor, Producer","69"
"648","Paddy Considine","3.20","Actor, Director, Writer","37"
"648","Vinnie Jones","3.20","Actor, Producer, Singer (Cameo)","47"
"648","Leslie Mann","3.20","Actress","40"
"648","Bradley Whitford","3.20","Actor","52"
"652","Matt LeBlanc","3.19","Actor, Producer, Singer (Cameo)","45"
"652","Michael McKean","3.19","Actor, Composer, Director, Producer, Singer (Cameo), Writer","64"
"652","Julian McMahon","3.19","Actor, Producer","43"
"652","Ron Perlman","3.19","Actor, Director, Writer","62"
"656","Emmanuelle Beart","3.18","Actress","48"
"656","Vivica A. Fox","3.18","Actress, Producer","47"
"656","Brad Garrett","3.18","Actor, Producer, Singer (Cameo)","52"
"656","Haley Joel Osment","3.18","Actor, Producer, Singer (Cameo)","24"
"656","J.K. Simmons","3.18","Actor","57"
"661","Rebecca Hall","3.17","Actress","30"
"661","Keke Palmer","3.17","Actress, Producer, Singer","18"
"661","Charlotte Rampling","3.17","Actress","66"
"661","Michelle Trachtenberg","3.17","Actress","26"
"661","Nia Vardalos","3.17","Actress","49"
"666","Christopher Lambert","3.16","Actor, Producer, Writer","55"
"666","Taryn Manning","3.16","Actress, Singer (Cameo)","33"
"666","Jaime Pressly","3.16","Actress, Producer, Singer (Cameo)","34"
"666","Molly Sims","3.16","Actress","39"
"666","Treat Williams","3.16","Actor","52"
"671","Will Arnett","3.15","Actor","42"
"671","Hank Azaria","3.15","Actor, Director, Producer, Voice (Animated project), Writer","48"
"671","Natascha McElhone","3.15","Actress","40"
"671","Kevin Pollak","3.15","Actor, Producer, Writer","54"
"671","Amy Smart","3.15","Actress","36"
"671","Leelee Sobieski","3.15","Actress","29"
"671","Wilmer Valderrama","3.15","Actor","32"
"678","Abbie Cornish","3.14","Actress","29"
"678","Joan Plowright","3.14","Actress","82"
"680","Kate Mara","3.13","Actress, Singer (Cameo)","29"
"680","Alyssa Milano","3.13","Actress, Producer","39"
"680","Gretchen Mol","3.13","Actress","39"
"683","Joy Bryant","3.12","Actress, Model","35"
"683","Omar Epps","3.12","Actor, Composer, Producer, Writer","39"
"683","Ben Foster","3.12","Actor","31"
"683","Thomas Jane","3.12","Actor, Director, Producer","43"
"683","Frankie Muniz","3.12","Actor, Producer, Writer","26"
"683","Freddy Rodriguez","3.12","Actor","37"
"683","Michael Vartan","3.12","Actor","43"
"683","Steven Weber","3.12","Actor, Director, Producer, Writer","51"
"691","Gina Gershon","3.11","Actress, Producer, Singer (Cameo)","50"
"691","Ashley Olsen","3.11","Actress, Producer","26"
"691","Billy Zane","3.11","Actor","46"
"694","Jonny Lee Miller","3.10","Actor, Singer (Cameo)","39"
"694","Alessandro Nivola","3.10","Actor, Singer (Cameo)","40"
"696","Erika Christensen","3.09","Actress, Singer (Cameo)","29"
"696","Peter Gallagher","3.09","Actor, Singer (Cameo), Writer","56"
"696","Natasha Henstridge","3.09","Actress, Singer (Cameo)","37"
"696","Jerry O'Connell","3.09","Actor, Director, Producer, Writer","38"
"700","Tony Goldwyn","3.08","Actor, Director, Producer","52"
"700","Richard Jenkins","3.08","Actor","65"
"702","John Cena","3.07","Actor","35"
"702","Sam Elliott","3.07","Actor, Producer, Singer (Cameo), Writer","67"
"702","Stephen Fry","3.07","Actor, Director, Producer, Writer","54"
"702","Neil Patrick Harris","3.07","Actor, Singer (Cameo)","39"
"702","Emma Roberts","3.07","Actress, Singer (Cameo)","21"
"702","Amanda Seyfried","3.07","Actress, Singer (Cameo)","26"
"702","Jeremy Sisto","3.07","Actor","37"
"709","Jenna Elfman","3.06","Actress, Producer","40"
"709","Dominic West","3.06","Actor","42"
"709","Vanessa L. Williams","3.06","Actress","49"
"712","Lara Flynn Boyle","3.05","Actress","42"
"712","Chiwetel Ejiofor","3.05","Actor, Director, Writer","38"
"712","Anton Yelchin","3.05","Actor","23"
"715","Kevin Dillon","3.04","Actor, Singer (Cameo)","46"
"715","Delroy Lindo","3.04","Actor","59"
"717","Alan Alda","3.03","Actor","76"
"717","Ellen Burstyn","3.03","Actress, Producer","79"
"717","Melissa George","3.03","Actress","35"
"717","Timothy Hutton","3.03","Actor, Director, Producer, Singer (Cameo), Writer","51"
"717","Dax Shepard","3.03","Actor","37"
"717","Jamie-Lynn Sigler","3.03","Actress","31"
"717","Shane West","3.03","Actor","34"
"724","Julie Andrews","3.02","Actress, Writer","76"
"724","Bob Balaban","3.02","Actor, Director, Producer","66"
"724","Saffron Burrows","3.02","Actress, Model","39"
"724","Christopher Lloyd","3.02","Actor, Singer (Cameo)","73"
"724","Mike White","3.02","Actor, Producer, Writer","42"
"729","Michael Madsen","3.01","Actress, Director, Producer, Writer","53"
"729","Goran Visnjic","3.01","Actor","39"
"731","Thora Birch","3.00","Actress","30"
"731","Chevy Chase","3.00","Actor, Musician, Singer (Cameo), Writer","68"
"731","Rupert Grint","3.00","Actor","23"
"731","Dennis Haysbert","3.00","Actor, Producer","58"
"731","Shah Rukh Khan","3.00","Actor, Producer","46"
"731","Michael Sheen","3.00","Actor, Producer","43"
"731","Lily Tomlin","3.00","Actress","72"
"738","David Morse","2.99","Actor, Director, Singer (Cameo)","58"
"738","Joe Pantoliano","2.99","Actor, Director, Producer, Writer","60"
"738","Aidan Quinn","2.99","Actor, Producer","53"
"741","Dominic Cooper","2.98","Actor, Singer (Cameo)","34"
"741","Janeane Garofalo","2.98","Actress, Director, Producer, Singer (Cameo), Writer","47"
"741","Martin Landau","2.98","Actor, Producer","81"
"741","Jesse L. Martin","2.98","Actor, Producer, Singer (Cameo)","43"
"745","Pamela Anderson","2.97","Actress, Producer","45"
"745","Rose Byrne","2.97","Actress","33"
"745","Angie Harmon","2.97","Actress","39"
"745","Tim Blake Nelson","2.97","Actor, Director, Producer, Singer (Cameo), Writer","48"
"745","Peter Stormare","2.97","Actor","58"
"750","Rosanna Arquette","2.96","Actress","52"
"750","Peter Coyote","2.96","Actor, Director, Producer","70"
"750","Jon Hamm","2.96","Actor","41"
"750","Salman Khan","2.96","Actor, Writer","46"
"750","Sophie Marceau","2.96","Actress, Director, Writer","45"
"750","Connie Nielsen","2.96","Actress","47"
"750","Chazz Palminteri","2.96","Actor, Director, Producer, Writer","60"
"750","Jane Seymour","2.96","Actress, Producer","61"
"750","Fred Willard","2.96","Actor","72"
"759","Christine Baranski","2.95","Actress","60"
"759","Laura Elena Harring","2.95","Actress","48"
"759","Lili Taylor","2.95","Actress","45"
"759","Deborah Kara Unger","2.95","Actress","49"
"763","Fanny Ardant","2.94","Actress","63"
"763","David Boreanaz","2.94","Actor, Director, Producer","43"
"763","Tracy Morgan","2.94","Actor, Producer, Singer (Cameo), Writer","43"
"763","Robert Pattinson","2.94","Actor","26"
"763","Oliver Platt","2.94","Actor, Producer","52"
"763","Nikki Reed","2.94","Actress, Producer, Writer","24"
"763","Emmanuelle Seigner","2.94","Actress","46"
"763","Ray Winstone","2.94","Actor","55"
"771","Jennifer Coolidge","2.93","Actress","48"
"771","T.I. (Tip Harris)","2.93","Actor, Rapper, Singer","31"
"771","Joe Mantegna","2.93","Actor, Director, Producer, Singer (Cameo), Writer","64"
"771","Kate Walsh","2.93","Actress","44"
"775","Armand Assante","2.92","Actor, Producer","62"
"775","John C. McGinley","2.92","Actor, Producer, Singer (Cameo), Writer","52"
"775","Jeffrey Dean Morgan","2.92","Actor","46"
"775","Craig T. Nelson","2.92","Actor, Director, Producer, Writer","68"
"779","Orlando Jones","2.91","Actor, Producer, Singer (Cameo), Writer","44"
"779","Burt Reynolds","2.91","Actor, Director, Producer, Singer (Cameo), Writer","76"
"779","Joely Richardson","2.91","Actress","47"
"779","Jeanne Tripplehorn","2.91","Actress","49"
"783","Peter Krause","2.90","Actor, Producer, Singer (Cameo)","46"
"783","Molly Shannon","2.90","Actress, Singer (Cameo), Writer","47"
"783","Christine Taylor","2.90","Actress","40"
"783","Kristen Wiig","2.90","Actress","38"
"787","Jesse Eisenberg","2.89","Actor, Singer (Cameo)","28"
"787","Leighton Meester","2.89","Actress","26"
"787","Chad Michael Murray","2.89","Actor, Writer","30"
"787","Eric Roberts","2.89","Actor, Singer (Cameo)","56"
"791","Tom Berenger","2.88","Actor, Producer, Writer","63"
"791","Candice Bergen","2.88","Actress, Producer","66"
"791","Cheryl Hines","2.88","Actress, Director, Producer","46"
"791","Michael Imperioli","2.88","Actor, Director, Producer, Writer","46"
"791","Lou Diamond Phillips","2.88","Actor, Director, Producer, Singer (Cameo), Writer","50"
"791","Randy Quaid","2.88","Actor, Producer, Singer (Cameo)","61"
"791","Brittany Snow","2.88","Actress","26"
"791","Harry Dean Stanton","2.88","Actor","86"
"799","Chris Brown","2.87","Actor, Rapper, Singer","23"
"799","Kevin Connolly","2.87","Actor, Director","38"
"799","Adam Goldberg","2.87","Actor, Composer, Director, Producer, Writer","41"
"799","Martin Henderson","2.87","Actor, Singer (Cameo)","37"
"799","Radha Mitchell","2.87","Actress, Director, Producer, Writer","38"
"799","Chris Pine","2.87","Actor","31"
"799","Julie Walters","2.87","Actress","62"
"799","Michael Jai White","2.87","Actor","44"
"807","Idina Menzel","2.86","Actress, Singer, Stage Performer (Musical)","41"
"807","Barry Pepper","2.86","Actor, Producer","42"
"807","Justin Theroux","2.86","Actor, Writer","40"
"807","Paz Vega","2.86","Actress","36"
"811","Vondie Curtis-Hall","2.85","Actor, Director, Writer","55"
"811","Judy Greer","2.85","Actress","37"
"811","Michael C. Hall","2.85","Actor, Producer, Singer (Cameo)","41"
"811","Colin Hanks","2.85","Actor, Producer, Singer (Cameo)","34"
"811","Ali Larter","2.85","Actress, Producer","36"
"811","Rip Torn","2.85","Actor","81"
"817","Simon Baker","2.84","Actor","42"
"817","Moritz Bleibtreu","2.84","Actor","40"
"817","Macaulay Culkin","2.84","Actor, Singer (Cameo)","31"
"817","Cliff Curtis","2.84","Actor, Producer","43"
"817","Danny Huston","2.84","Actor, Director","50"
"817","Irrfan Khan","2.84","Actor","NA"
"817","Matthew Lillard","2.84","Actor, Producer, Singer (Cameo)","42"
"817","Colm Meaney","2.84","Actor","59"
"817","Jay Mohr","2.84","Actor, Producer, Singer (Cameo), Writer","41"
"817","Gaspard Ulliel","2.84","Actor","27"
"827","Benjamin McKenzie","2.83","Actor","33"
"827","Michael Pena","2.83","Actor","36"
"829","Ben Barnes","2.82","Actor","30"
"829","Emmanuelle Chriqui","2.82","Actress","34"
"829","Billy Connolly","2.82","Actor, Composer, Producer, Writer","69"
"829","Cheech Marin","2.82","Actor, Director, Producer, Singer (Cameo), Writer","66"
"829","Michelle Rodriguez","2.82","Actress, Producer","34"
"829","Richard Roxburgh","2.82","Actor, Director, Singer (Cameo)","50"
"829","Skeet Ulrich","2.82","Actor","42"
"829","Mario Van Peebles","2.82","Actor","55"
"829","Milo Ventimiglia","2.82","Actor","35"
"838","Michael Gambon","2.81","Actor, Musician","71"
"838","Jaime King","2.81","Actress","33"
"838","Ron Livingston","2.81","Actor, Producer","45"
"838","Debra Winger","2.81","Actress","57"
"842","Asia Argento","2.80","Actress","36"
"842","Illeana Douglas","2.80","Actress, Director, Producer, Singer (Cameo), Writer","47"
"842","Jane Krakowski","2.80","Actress, Singer (Cameo)","43"
"842","Mary McCormack","2.80","Actress","43"
"846","Vincent D'Onofrio","2.79","Actor, Director, Producer","53"
"846","Brendan Gleeson","2.79","Actor, Singer (Cameo)","57"
"846","Eddie Griffin","2.79","Actor, Director, Producer, Singer (Cameo), Writer","44"
"846","Olivia Thirlby","2.79","Actress","26"
"846","Kenan Thompson","2.79","Actor","34"
"851","Carla Gugino","2.78","Actor, Producer","40"
"851","Catherine McCormack","2.78","Actress, Singer (Cameo)","40"
"851","Robert Patrick","2.78","Actor, Producer","53"
"851","Steven Strait","2.78","Actor, Musician","26"
"855","Rachel Blanchard","2.77","Actress","36"
"855","Marc Blucas","2.77","Actor","40"
"855","Mark Harmon","2.77","Actor, Director, Producer","60"
"855","Sean Hayes","2.77","Actor, Producer, Singer (Cameo), Writer","42"
"855","Kristen Johnston","2.77","Actress","44"
"855","Donal Logue","2.77","Actor","46"
"855","Kristen Stewart","2.77","Actress","22"
"862","Eric Bogosian","2.76","Actor, Writer","59"
"862","Griffin Dunne","2.76","Actor, Director, Producer, Writer","57"
"862","Mike Epps","2.76","Actor, Comedian, Producer, Singer (Cameo), Writer","41"
"862","Irene Jacob","2.76","Actress","46"
"862","Christopher Plummer","2.76","Actor, Producer, Singer (Cameo)","82"
"867","Leslie Bibb","2.75","Actress, Model, Producer","37"
"867","Pete Postlethwaite","2.75","Actor","66"
"869","Emily Deschanel","2.74","Actress, Producer, Singer (Cameo)","35"
"870","David Paymer","2.73","Actor, Director","57"
"870","Teri Polo","2.73","Actress","43"
"870","David Suchet","2.73","Actor, Producer","66"
"873","David Carradine","2.72","Actor, Composer, Director, Producer, Singer (Cameo), Writer","75"
"873","Martin Freeman","2.72","Actor","40"
"873","Crispin Glover","2.72","Actor, Director, Producer, Singer (Cameo), Writer","48"
"873","Dolph Lundgren","2.72","Actor, Director, Producer, Writer","54"
"873","Kelly Macdonald","2.72","Actress","36"
"873","Gabriel Mann","2.72","Actor, Singer (Cameo)","40"
"873","Sophie Okonedo","2.72","Actress","43"
"873","Imelda Staunton","2.72","Actress","56"
"873","Mary Steenburgen","2.72","Actress","59"
"882","Craig Bierko","2.71","Actor, Stage Performer (Musical)","47"
"882","January Jones","2.71","Actress","34"
"882","Jenny McCarthy","2.71","Actress, Producer, Writer","39"
"885","Dan Fogler","2.70","Actor, Singer (Cameo)","35"
"885","Charlotte Gainsbourg","2.70","Actress, Singer (Cameo)","41"
"885","Scott Glenn","2.70","Actor","71"
"885","David Alan Grier","2.70","Actor, Producer, Singer (Cameo), Writer","57"
"885","Karl Urban","2.70","Actor","40"
"890","Scott Caan","2.69","Actor, Director, Producer, Writer","35"
"890","Haylie Duff","2.69","Actress, Producer, Singer (Cameo)","27"
"890","David Koechner","2.69","Actor, Producer, Singer (Cameo), Writer","49"
"890","Edward James Olmos","2.69","Actor, Composer, Director, Producer","65"
"890","Josh Peck","2.69","Actor, Director, Producer","25"
"895","Kat Dennings","2.68","Actress, Singer (Cameo)","26"
"896","Jason Alexander","2.67","Actor, Director, Producer, Writer","52"
"896","William Baldwin","2.67","Actor","49"
"896","Keisha Castle-Hughes","2.67","Actress","22"
"896","Sean Faris","2.67","Actor, Producer","30"
"896","Alison Lohman","2.67","Actress","32"
"896","Lou Taylor Pucci","2.67","Actor","26"
"896","Greta Scacchi","2.67","Actress","52"
"896","Tom Skerritt","2.67","Actor","78"
"896","Donnie Wahlberg","2.67","Actor","42"
"905","Jennifer Beals","2.66","Actress","48"
"905","Joan Chen","2.66","Actress, Director, Producer, Writer","51"
"905","Rob Corddry","2.66","Actor, Writer","41"
"905","Angus Macfadyen","2.66","Actor, Singer (Cameo)","48"
"905","Amy Sedaris","2.66","Actress, Comedian, Writer","51"
"905","Tom Welling","2.66","Actor","35"
"911","Melissa Leo","2.65","Actress","51"
