"Id","Label","Score","Rank","Age","Profession","Spouses","Dated","Total","Spouses1400","Dated1400","Total1400","p1400"
"p557","Jeremy London",1.86,1240,39,"Actor, Director, Producer, Writer",3,1,4,0,1,1,25
"p558","Rashida Jones",1.85,1241,36,"Actress, Producer, Singer (Cameo)",0,7,7,0,4,4,57.1
"p559","Minka Kelly",1.78,1255,32,"Actress",0,4,4,0,2,2,50
"p560","Oliver Hudson",1.77,1259,35,"Actor, Producer",1,1,2,0,1,1,50
"p561","Olivia Williams",1.76,1261,43,"Actress",1,2,3,0,1,1,33.3
"p562","Beverly D'Angelo",1.67,1277,60,"Actress, Producer, Singer (Cameo)",3,6,9,1,0,1,11.1
"p563","Steven Bauer",1.65,1283,55,"Actor, Producer",3,0,3,1,0,1,33.3
"p565","Jason Lewis",1.64,1289,41,"Actor, Model",0,3,3,0,1,1,33.3
"p568","Tara Reid",1.6,1299,36,"Actress, Producer",1,14,15,0,1,1,6.7
"p569","Laetitia Casta",1.57,1307,34,"Actress, Model",2,1,3,0,1,1,33.3
"p570","Alex Kingston",1.57,1307,49,"Actress",2,0,2,1,0,1,50
"p571","Diane Ladd",1.53,1317,79,"Actress, Director, Producer, Writer",3,0,3,1,0,1,33.3
"p572","Rachel Nichols",1.5,1325,32,"Actress",1,1,2,0,1,1,50
"p573","Rumer Willis",1.49,1328,23,"Actress",0,2,2,0,1,1,50
"p575","Brooke Burns",1.35,1359,34,"Actress, Model",1,2,3,1,1,2,66.7
"p577","Kathleen Quinlan",1.23,1374,57,"Actress",1,1,2,0,1,1,50
"p579","Ashley Scott",1.18,1381,35,"Actress",1,6,7,0,6,6,85.7
"p581","Mary Lynn Rajskub",1.14,1388,41,"Actor, Singer (Cameo), Writer",1,3,4,0,1,1,25
"p582","Lynn Collins",1.04,1394,33,"Actress",1,1,2,1,1,2,100
"p584","Kevin Connolly",2.87,799,38,"Actor, Director",0,2,2,0,0,0,0
"p586","Chris Evans",3.94,474,31,"Actor",3,0,3,0,0,0,0
