"Id","Label","Score","Rank","Age","Profession","Spouses","Dated","Total","Spouses1400","Dated1400","Total1400","p1400"
"p345","Mary-Kate Olsen",3.48,578,26,"Actress, Producer",0,11,11,0,1,1,9.1
"p346","Daryl Hannah",3.47,579,51,"Actress, Director, Producer, Writer",0,9,9,0,1,1,11.1
"p347","Jon Bon Jovi",3.45,581,50,"Actor, Composer, Musician, Singer",1,1,2,0,1,1,50
"p348","Olivier Martinez",3.44,583,46,"Actor",2,5,7,2,3,5,71.4
"p349","Raven-Symoné",3.44,583,26,"Actor, Producer, Singer (Cameo)",0,2,2,0,1,1,50
"p350","Franka Potente",3.42,588,38,"Actress, Director, Singer (Cameo), Writer",0,3,3,0,1,1,33.3
"p351","Adrian Grenier",3.41,590,36,"Actor, Director, Producer, Writer",0,9,9,0,3,3,33.3
"p352","Diane Kruger",3.39,595,36,"Actress, Producer",2,1,3,1,0,1,33.3
"p353","Terence Stamp",3.39,595,73,"Actor",1,1,2,0,1,1,50
"p354","Chace Crawford",3.37,599,27,"Actor",0,7,7,0,2,2,28.6
"p355","Lauren Graham",3.37,599,45,"Actress, Producer, Singer (Cameo)",0,9,9,0,5,5,55.6
"p356","Mena Suvari",3.37,599,33,"Actress",2,2,4,0,1,1,25
"p358","Hugh Dancy",3.33,609,37,"Actor",1,1,2,1,1,2,100
"p359","Alicia Silverstone",3.33,609,35,"Actress, Producer",1,2,3,0,2,2,66.7
"p360","James Brolin",3.32,614,72,"Actor, Director, Producer",3,0,3,1,0,1,33.3
"p361","Mischa Barton",3.27,623,26,"Actress",0,4,4,0,1,1,25
"p363","Camilla Belle",3.26,626,25,"Actress",0,3,3,0,1,1,33.3
"p364","Stuart Townsend",3.25,627,39,"Actor",1,1,2,1,1,2,100
"p365","Patricia Arquette",3.24,629,44,"Actress",2,3,5,2,2,4,80
"p366","Juliette Lewis",3.24,629,39,"Actress, Singer (Cameo)",1,7,8,0,6,6,75
"p367","Noah Wyle",3.24,629,41,"Actor, Director, Producer",1,1,2,0,1,1,50
"p369","Carmen Electra",3.22,641,40,"Actress, Singer (Cameo)",2,7,9,0,4,4,44.4
"p370","Chris O'Donnell",3.22,641,42,"Actor, Producer",1,2,3,0,2,2,66.7
